feature_group,grouped_feature_count,present_feature_count,missing_feature_count,dataset_split,table_name,feature_name,present_in_dataset
application_profile,3.0,3.0,0.0,train,coverage_summary,,
credit_history,7.0,6.0,1.0,train,coverage_summary,,
debt_burden,6.0,6.0,0.0,train,coverage_summary,,
loan_structure,3.0,3.0,0.0,train,coverage_summary,,
recent_credit_behavior,7.0,7.0,0.0,train,coverage_summary,,
reporting_shifts_data_quality,3.0,0.0,3.0,train,coverage_summary,,
target_definition_and_cohort,2.0,2.0,0.0,train,coverage_summary,,
application_profile,3.0,3.0,0.0,test,coverage_summary,,
credit_history,7.0,6.0,1.0,test,coverage_summary,,
debt_burden,6.0,6.0,0.0,test,coverage_summary,,
loan_structure,3.0,3.0,0.0,test,coverage_summary,,
recent_credit_behavior,7.0,7.0,0.0,test,coverage_summary,,
reporting_shifts_data_quality,3.0,0.0,3.0,test,coverage_summary,,
target_definition_and_cohort,2.0,2.0,0.0,test,coverage_summary,,
application_profile,,,,train,feature_group_summary,annual_inc,True
application_profile,,,,train,feature_group_summary,emp_length_years,True
application_profile,,,,train,feature_group_summary,home_ownership,True
credit_history,,,,train,feature_group_summary,acc_now_delinq,True
credit_history,,,,train,feature_group_summary,collections_12_mths_ex_med,True
credit_history,,,,train,feature_group_summary,delinq_2yrs,True
credit_history,,,,train,feature_group_summary,earliest_cr_line,False
credit_history,,,,train,feature_group_summary,open_acc,True
credit_history,,,,train,feature_group_summary,pub_rec,True
credit_history,,,,train,feature_group_summary,total_acc,True
debt_burden,,,,train,feature_group_summary,dti,True
debt_burden,,,,train,feature_group_summary,revol_bal,True
debt_burden,,,,train,feature_group_summary,revol_util,True
debt_burden,,,,train,feature_group_summary,tot_coll_amt,True
debt_burden,,,,train,feature_group_summary,tot_cur_bal,True
debt_burden,,,,train,feature_group_summary,total_rev_hi_lim,True
loan_structure,,,,train,feature_group_summary,loan_amnt,True
loan_structure,,,,train,feature_group_summary,purpose,True
loan_structure,,,,train,feature_group_summary,term_months,True
recent_credit_behavior,,,,train,feature_group_summary,has_mths_since_last_delinq,True
recent_credit_behavior,,,,train,feature_group_summary,has_mths_since_last_major_derog,True
recent_credit_behavior,,,,train,feature_group_summary,has_mths_since_last_record,True
recent_credit_behavior,,,,train,feature_group_summary,inq_last_6mths,True
recent_credit_behavior,,,,train,feature_group_summary,mths_since_last_delinq,True
recent_credit_behavior,,,,train,feature_group_summary,mths_since_last_major_derog,True
recent_credit_behavior,,,,train,feature_group_summary,mths_since_last_record,True
reporting_shifts_data_quality,,,,train,feature_group_summary,tot_coll_amt_missing,False
reporting_shifts_data_quality,,,,train,feature_group_summary,tot_cur_bal_missing,False
reporting_shifts_data_quality,,,,train,feature_group_summary,total_rev_hi_lim_missing,False
target_definition_and_cohort,,,,train,feature_group_summary,loan_status,True
target_definition_and_cohort,,,,train,feature_group_summary,target_default,True
application_profile,,,,test,feature_group_summary,annual_inc,True
application_profile,,,,test,feature_group_summary,emp_length_years,True
application_profile,,,,test,feature_group_summary,home_ownership,True
credit_history,,,,test,feature_group_summary,acc_now_delinq,True
credit_history,,,,test,feature_group_summary,collections_12_mths_ex_med,True
credit_history,,,,test,feature_group_summary,delinq_2yrs,True
credit_history,,,,test,feature_group_summary,earliest_cr_line,False
credit_history,,,,test,feature_group_summary,open_acc,True
credit_history,,,,test,feature_group_summary,pub_rec,True
credit_history,,,,test,feature_group_summary,total_acc,True
debt_burden,,,,test,feature_group_summary,dti,True
debt_burden,,,,test,feature_group_summary,revol_bal,True
debt_burden,,,,test,feature_group_summary,revol_util,True
debt_burden,,,,test,feature_group_summary,tot_coll_amt,True
debt_burden,,,,test,feature_group_summary,tot_cur_bal,True
debt_burden,,,,test,feature_group_summary,total_rev_hi_lim,True
loan_structure,,,,test,feature_group_summary,loan_amnt,True
loan_structure,,,,test,feature_group_summary,purpose,True
loan_structure,,,,test,feature_group_summary,term_months,True
recent_credit_behavior,,,,test,feature_group_summary,has_mths_since_last_delinq,True
recent_credit_behavior,,,,test,feature_group_summary,has_mths_since_last_major_derog,True
recent_credit_behavior,,,,test,feature_group_summary,has_mths_since_last_record,True
recent_credit_behavior,,,,test,feature_group_summary,inq_last_6mths,True
recent_credit_behavior,,,,test,feature_group_summary,mths_since_last_delinq,True
recent_credit_behavior,,,,test,feature_group_summary,mths_since_last_major_derog,True
recent_credit_behavior,,,,test,feature_group_summary,mths_since_last_record,True
reporting_shifts_data_quality,,,,test,feature_group_summary,tot_coll_amt_missing,False
reporting_shifts_data_quality,,,,test,feature_group_summary,tot_cur_bal_missing,False
reporting_shifts_data_quality,,,,test,feature_group_summary,total_rev_hi_lim_missing,False
target_definition_and_cohort,,,,test,feature_group_summary,loan_status,True
target_definition_and_cohort,,,,test,feature_group_summary,target_default,True
