model_name,dataset_name,threshold,outcome_type,row_count,total_loan_amnt,average_loan_amnt,median_loan_amnt
catboost_native,test,0.2,false_negative,3136,42871600,13670.790816326531,12000.0
catboost_native,test,0.2,false_positive,19284,316503025,16412.726872018255,15000.0
catboost_native,test,0.2,true_negative,29560,389483200,13176.021650879567,11000.0
catboost_native,test,0.2,true_positive,8032,129704525,16148.471738047809,15000.0
catboost_native,test,0.3,false_negative,5968,83376450,13970.584785522788,12000.0
catboost_native,test,0.3,false_positive,9238,164993325,17860.286317384714,16000.0
catboost_native,test,0.3,true_negative,39606,540992900,13659.36726758572,12000.0
catboost_native,test,0.3,true_positive,5200,89199675,17153.783653846152,15550.0
catboost_native,test,0.4,false_negative,8232,119810450,14554.233479105927,12000.0
catboost_native,test,0.4,false_positive,4151,77287150,18618.92315104794,17000.0
catboost_native,test,0.4,true_negative,44693,628699075,14067.05915915244,12000.0
catboost_native,test,0.4,true_positive,2936,52765675,17971.96014986376,16150.0
catboost_native,test,0.5,false_negative,9772,146979700,15040.902578796562,13250.0
catboost_native,test,0.5,false_positive,1545,29412250,19037.055016181228,17875.0
catboost_native,test,0.5,true_negative,47299,676573975,14304.191949089833,12000.0
catboost_native,test,0.5,true_positive,1396,25596425,18335.547994269342,16812.5
catboost_native,test,0.6,false_negative,10643,162805400,15296.946349713427,14000.0
catboost_native,test,0.6,false_positive,407,7614500,18708.84520884521,17000.0
catboost_native,test,0.6,true_negative,48437,698371725,14418.145735697917,12000.0
catboost_native,test,0.6,true_positive,525,9770725,18610.904761904763,17000.0
