model_name,dataset_name,outcome_type,row_count,total_loan_amnt,average_loan_amnt,median_loan_amnt
logistic_regression,test,false_negative,9962,151714900,15229.361573981128,13600.0
logistic_regression,test,false_positive,1362,24344425,17874.027165932453,16000.0
logistic_regression,test,true_negative,47482,681641800,14355.793774482961,12000.0
logistic_regression,test,true_positive,1206,20861225,17297.864842454394,15650.0
shared_random_forest,test,false_negative,10649,163442400,15348.145365762044,14000.0
shared_random_forest,test,false_positive,506,9103150,17990.415019762844,16512.5
shared_random_forest,test,true_negative,48338,696883075,14416.87854276139,12000.0
shared_random_forest,test,true_positive,519,9133725,17598.699421965317,16150.0
tree_no_log_random_forest,test,false_negative,10651,163484150,15349.183175288705,14000.0
tree_no_log_random_forest,test,false_positive,507,9157975,18063.067061143985,16625.0
tree_no_log_random_forest,test,true_negative,48337,696828250,14416.042576080436,12000.0
tree_no_log_random_forest,test,true_positive,517,9091975,17586.0251450677,16150.0
catboost_shared,test,false_negative,9783,147006450,15026.72493100276,13200.0
catboost_shared,test,false_positive,1484,28164600,18978.840970350404,17612.5
catboost_shared,test,true_negative,47360,677821625,14312.112014358108,12000.0
catboost_shared,test,true_positive,1385,25569675,18461.859205776174,17000.0
catboost_native,test,false_negative,9772,146979700,15040.902578796562,13250.0
catboost_native,test,false_positive,1545,29412250,19037.055016181228,17875.0
catboost_native,test,true_negative,47299,676573975,14304.191949089833,12000.0
catboost_native,test,true_positive,1396,25596425,18335.547994269342,16812.5
